,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,2694.0,0.0,43.0,18677.06,5.566881,12.0,0.0,0.0,4.431604,117.472,542.7248776,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,5140.0,0.0,40.0,31429.51,9.708299,12.0,0.0,1.0,61.35427,262.6106,5725.876807,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,2568.0,4.0,72.0,19685.04,15.8001,12.0,0.0,0.0,13.43811,174.9768,1965.462483,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3,3671.0,4.0,35.0,29179.15,7.449366,13.0,0.0,0.0,3.911083,172.4848,971.4767445,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4,7427.0,1.0,25.0,36700.44,12.70422,11.0,0.0,0.0,59.28871,159.9642,5328.076501,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
5,3993.0,0.0,70.0,30328.46,9.920573,12.0,0.0,1.0,5.595446,147.4421,630.454611,3.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8082.0,2.0,73.0,36841.04,12.74847,11.0,3.0,0.0,61.27787,232.6228,5676.244141,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
7,5130.0,4.0,84.0,24026.7,7.072618,10.0,1.0,0.0,60.38138,162.4526,5319.773541,3.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
8,1717.0,3.0,45.0,69222.79,15.42891992,17.0,0.0,1.0,6.215774391,232.62403,1607.735971,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
9,6921.0,0.0,74.0,58425.91,10.92195,10.0,4.0,0.0,61.55321,182.4676,5360.396176,5.0,4.0,5.0,5.0,2.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
10,3878.0,1.0,33.0,34945.56,6.281176,9.0,2.0,0.0,31.44123,214.9663,3069.097767,5.0,5.0,4.0,4.0,3.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
11,9304.0,2.0,79.0,21406.95,13.50438,13.0,3.0,0.0,71.50974,194.9525,6564.863417,2.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
12,2947.0,1.0,58.0,55438.14,11.02008,10.0,1.0,1.0,12.73029,152.4742,1705.874036,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
13,1123.0,0.0,57.0,47757.95,7.550902576,12.0,2.0,1.0,1.456262249,184.961033,906.2735981,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14,4314.0,0.0,65.0,94296.35,11.46299,15.0,1.0,0.0,3.23817,147.4713,443.3624779,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8903.0,2.0,27.0,33392.44,9.789614,14.0,2.0,2.0,51.59283,204.9634,4853.919295,5.0,6.0,5.0,2.0,5.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
16,2875.0,0.0,55.0,62894.22,6.601125,11.0,1.0,0.0,16.71459,92.45514,1844.526573,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,1995.0,1.0,47.0,34264.02,6.259396187,14.0,1.0,2.0,5.794641025,119.989722,786.3429747,4.0,2.0,4.0,1.0,6.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
18,1041.0,1.0,41.0,58384.68,9.290332689,6.0,1.0,0.0,1.415346194,172.455519,500.7187258,4.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
19,6654.0,2.0,77.0,78661.48,12.62813,11.0,2.0,0.0,63.61158,159.983,5364.283551,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
